UID        PID  PPID  C STIME TTY          TIME CMD
ec2-user  3743  3709  0 08:36 ?        00:00:00 sshd: ec2-user@pts/1
ec2-user  3744  3743  0 08:36 pts/1    00:00:00 -bash
ec2-user  3904  3744  0 08:50 pts/1    00:00:00 head -4
postfix   3940  3008  0 09:01 ?        00:00:00 pickup -l -t unix -u
root      4123     2  0 09:45 ?        00:00:00 [kworker/u30:1-e]
root      4233  3054  0 09:56 ?        00:00:00 sshd: ec2-user [priv]
ec2-user  4267  4233  0 09:56 ?        00:00:00 sshd: ec2-user@pts/2
ec2-user  4268  4267  0 09:56 pts/2    00:00:00 -bash
root      4308     2  0 10:00 ?        00:00:00 [kworker/0:0-eve]
root      4358     2  0 10:15 ?        00:00:00 [kworker/0:2-eve]
root      4360  3054  0 10:16 ?        00:00:00 sshd: ec2-user [priv]
ec2-user  4394  4360  0 10:16 ?        00:00:00 sshd: ec2-user@pts/3
ec2-user  4395  4394  0 10:16 pts/3    00:00:00 -bash
root      4484     2  0 10:20 ?        00:00:00 [kworker/0:1-eve]
ec2-user  4488  4395  0 10:23 pts/3    00:00:00 less data2
ec2-user  4493  4395  0 10:25 pts/3    00:00:00 ps -ef
